time,x,y,z,vx,vy,vz
0,1e+09,1e+09,0,-10000,0,0
0,-1e+09,1e+09,0,0,-10000,0
0,0,2e+09,0,15000,0,0
0.1,9.99999e+08,1e+09,0,-10046.9,-46.9349,0
0.1,-1e+09,9.99999e+08,0,46.9349,-10046.9,0
0.1,1500,2e+09,0,15000,-33.188,0
0.2,9.99998e+08,1e+09,0,-10093.9,-93.8698,0
0.2,-1e+09,9.99998e+08,0,93.8698,-10093.9,0
0.2,3000,2e+09,0,15000,-66.3759,0
0.3,9.99997e+08,1e+09,0,-10140.8,-140.805,0
0.3,-1e+09,9.99997e+08,0,140.805,-10140.8,0
0.3,4500,2e+09,0,15000,-99.5639,0
0.4,9.99996e+08,1e+09,0,-10187.7,-187.74,0
0.4,-1e+09,9.99996e+08,0,187.74,-10187.7,0
0.4,6000,2e+09,0,15000,-132.752,0
0.5,9.99995e+08,1e+09,0,-10234.7,-234.675,0
0.5,-1e+09,9.99995e+08,0,234.675,-10234.7,0
0.5,7500,2e+09,0,15000,-165.94,0
0.6,9.99994e+08,1e+09,0,-10281.6,-281.61,0
0.6,-1e+09,9.99994e+08,0,281.61,-10281.6,0
0.6,9000,2e+09,0,15000,-199.128,0
0.7,9.99993e+08,1e+09,0,-10328.5,-328.546,0
0.7,-1e+09,9.99993e+08,0,328.546,-10328.5,0
0.7,10500,2e+09,0,15000,-232.316,0
0.8,9.99992e+08,1e+09,0,-10375.5,-375.481,0
0.8,-1e+09,9.99992e+08,0,375.481,-10375.5,0
0.8,12000,2e+09,0,15000,-265.504,0
0.9,9.99991e+08,1e+09,0,-10422.4,-422.416,0
0.9,-1e+09,9.99991e+08,0,422.416,-10422.4,0
0.9,13500,2e+09,0,15000,-298.692,0
1,9.9999e+08,1e+09,0,-10469.3,-469.352,0
1,-1e+09,9.9999e+08,0,469.352,-10469.3,0
1,15000,2e+09,0,15000,-331.88,0
1.1,9.99989e+08,1e+09,0,-10516.3,-516.287,0
1.1,-1e+09,9.99989e+08,0,516.287,-10516.3,0
1.1,16500,2e+09,0,15000,-365.068,0
1.2,9.99988e+08,1e+09,0,-10563.2,-563.223,0
1.2,-1e+09,9.99988e+08,0,563.223,-10563.2,0
1.2,18000,2e+09,0,15000,-398.256,0
1.3,9.99987e+08,1e+09,0,-10610.2,-610.159,0
1.3,-1e+09,9.99987e+08,0,610.159,-10610.2,0
1.3,19500,2e+09,0,15000,-431.443,0
1.4,9.99986e+08,1e+09,0,-10657.1,-657.095,0
1.4,-1e+09,9.99986e+08,0,657.095,-10657.1,0
1.4,21000,2e+09,0,15000,-464.631,0
1.5,9.99984e+08,9.99999e+08,0,-10704,-704.031,0
1.5,-9.99999e+08,9.99984e+08,0,704.031,-10704,0
1.5,22500,2e+09,0,15000,-497.819,0
1.6,9.99983e+08,9.99999e+08,0,-10751,-750.966,0
1.6,-9.99999e+08,9.99983e+08,0,750.966,-10751,0
1.6,24000,2e+09,0,15000,-531.007,0
1.7,9.99982e+08,9.99999e+08,0,-10797.9,-797.903,0
1.7,-9.99999e+08,9.99982e+08,0,797.903,-10797.9,0
1.7,25500,2e+09,0,15000,-564.195,0
1.8,9.99981e+08,9.99999e+08,0,-10844.8,-844.839,0
1.8,-9.99999e+08,9.99981e+08,0,844.839,-10844.8,0
1.8,27000,2e+09,0,15000,-597.383,0
1.9,9.9998e+08,9.99999e+08,0,-10891.8,-891.775,0
