x,y,curvature,time_dilation
-3e+09,-3e+09,-3.12899e+11,0.999997
-3e+09,-2.94e+09,-3.16044e+11,0.999996
-3e+09,-2.88e+09,-3.19218e+11,0.999996
-3e+09,-2.82e+09,-3.22422e+11,0.999996
-3e+09,-2.76e+09,-3.25654e+11,0.999996
-3e+09,-2.7e+09,-3.28912e+11,0.999996
-3e+09,-2.64e+09,-3.32195e+11,0.999996
-3e+09,-2.58e+09,-3.35502e+11,0.999996
-3e+09,-2.52e+09,-3.38829e+11,0.999996
-3e+09,-2.46e+09,-3.42176e+11,0.999996
-3e+09,-2.4e+09,-3.45539e+11,0.999996
-3e+09,-2.34e+09,-3.48917e+11,0.999996
-3e+09,-2.28e+09,-3.52307e+11,0.999996
-3e+09,-2.22e+09,-3.55705e+11,0.999996
-3e+09,-2.16e+09,-3.59109e+11,0.999996
-3e+09,-2.1e+09,-3.62515e+11,0.999996
-3e+09,-2.04e+09,-3.6592e+11,0.999996
-3e+09,-1.98e+09,-3.6932e+11,0.999996
-3e+09,-1.92e+09,-3.7271e+11,0.999996
-3e+09,-1.86e+09,-3.76087e+11,0.999996
-3e+09,-1.8e+09,-3.79446e+11,0.999996
-3e+09,-1.74e+09,-3.82782e+11,0.999996
-3e+09,-1.68e+09,-3.86089e+11,0.999996
-3e+09,-1.62e+09,-3.89363e+11,0.999996
-3e+09,-1.56e+09,-3.92599e+11,0.999996
-3e+09,-1.5e+09,-3.95789e+11,0.999996
-3e+09,-1.44e+09,-3.98929e+11,0.999996
-3e+09,-1.38e+09,-4.02013e+11,0.999996
-3e+09,-1.32e+09,-4.05032e+11,0.999995
-3e+09,-1.26e+09,-4.07983e+11,0.999995
-3e+09,-1.2e+09,-4.10857e+11,0.999995
-3e+09,-1.14e+09,-4.13647e+11,0.999995
-3e+09,-1.08e+09,-4.16348e+11,0.999995
-3e+09,-1.02e+09,-4.18953e+11,0.999995
-3e+09,-9.6e+08,-4.21453e+11,0.999995
-3e+09,-9e+08,-4.23844e+11,0.999995
-3e+09,-8.4e+08,-4.26117e+11,0.999995
-3e+09,-7.8e+08,-4.28267e+11,0.999995
-3e+09,-7.2e+08,-4.30287e+11,0.999995
-3e+09,-6.6e+08,-4.32171e+11,0.999995
-3e+09,-6e+08,-4.33913e+11,0.999995
-3e+09,-5.4e+08,-4.35507e+11,0.999995
-3e+09,-4.8e+08,-4.36948e+11,0.999995
-3e+09,-4.2e+08,-4.38232e+11,0.999995
-3e+09,-3.6e+08,-4.39354e+11,0.999995
-3e+09,-3e+08,-4.4031e+11,0.999995
-3e+09,-2.4e+08,-4.41097e+11,0.999995
-3e+09,-1.8e+08,-4.41712e+11,0.999995
-3e+09,-1.2e+08,-4.42153e+11,0.999995
-3e+09,-6e+07,-4.42418e+11,0.999995
-3e+09,0,-4.42506e+11,0.999995
-3e+09,6e+07,-4.42418e+11,0.999995
-3e+09,1.2e+08,-4.42153e+11,0.999995
-3e+09,1.8e+08,-4.41712e+11,0.999995
-3e+09,2.4e+08,-4.41097e+11,0.999995
-3e+09,3e+08,-4.4031e+11,0.999995
-3e+09,3.6e+08,-4.39354e+11,0.999995
-3e+09,4.2e+08,-4.38232e+11,0.999995
-3e+09,4.8e+08,-4.36948e+11,0.999995
-3e+09,5.4e+08,-4.35507e+11,0.999995
-3e+09,6e+08,-4.33913e+11,0.999995
-3e+09,6.6e+08,-4.32171e+11,0.999995
-3e+09,7.2e+08,-4.30287e+11,0.999995
-3e+09,7.8e+08,-4.28267e+11,0.999995
-3e+09,8.4e+08,-4.26117e+11,0.999995
-3e+09,9e+08,-4.23844e+11,0.999995
-3e+09,9.6e+08,-4.21453e+11,0.999995
-3e+09,1.02e+09,-4.18953e+11,0.999995
-3e+09,1.08e+09,-4.16348e+11,0.999995
-3e+09,1.14e+09,-4.13647e+11,0.999995
-3e+09,1.2e+09,-4.10857e+11,0.999995
-3e+09,1.26e+09,-4.07983e+11,0.999995
-3e+09,1.32e+09,-4.05032e+11,0.999995
-3e+09,1.38e+09,-4.02013e+11,0.999996
-3e+09,1.44e+09,-3.98929e+11,0.999996
-3e+09,1.5e+09,-3.95789e+11,0.999996
-3e+09,1.56e+09,-3.92599e+11,0.999996
-3e+09,1.62e+09,-3.89363e+11,0.999996
-3e+09,1.68e+09,-3.86089e+11,0.999996
-3e+09,1.74e+09,-3.82782e+11,0.999996
-3e+09,1.8e+09,-3.79446e+11,0.999996
-3e+09,1.86e+09,-3.76087e+11,0.999996
-3e+09,1.92e+09,-3.7271e+11,0.999996
-3e+09,1.98e+09,-3.6932e+11,0.999996
-3e+09,2.04e+09,-3.6592e+11,0.999996
-3e+09,2.1e+09,-3.62515e+11,0.999996
-3e+09,2.16e+09,-3.59109e+11,0.999996
-3e+09,2.22e+09,-3.55705e+11,0.999996
-3e+09,2.28e+09,-3.52307e+11,0.999996
-3e+09,2.34e+09,-3.48917e+11,0.999996
-3e+09,2.4e+09,-3.45539e+11,0.999996
-3e+09,2.46e+09,-3.42176e+11,0.999996
-3e+09,2.52e+09,-3.38829e+11,0.999996
-3e+09,2.58e+09,-3.35502e+11,0.999996
-3e+09,2.64e+09,-3.32195e+11,0.999996
-3e+09,2.7e+09,-3.28912e+11,0.999996
-3e+09,2.76e+09,-3.25654e+11,0.999996
-3e+09,2.82e+09,-3.22422e+11,0.999996
-3e+09,2.88e+09,-3.19218e+11,0.999996
-3e+09,2.94e+09,-3.16044e+11,0.999996
-2.94e+09,-3e+09,-3.16044e+11,0.999996
-2.94e+09,-2.94e+09,-3.19285e+11,0.999996
-2.94e+09,-2.88e+09,-3.22559e+11,0.999996
-2.94e+09,-2.82e+09,-3.25866e+11,0.999996
-2.94e+09,-2.76e+09,-3.29203e+11,0.999996
-2.94e+09,-2.7e+09,-3.3257e+11,0.999996
-2.94e+09,-2.64e+09,-3.35965e+11,0.999996
-2.94e+09,-2.58e+09,-3.39387e+11,0.999996
-2.94e+09,-2.52e+09,-3.42832e+11,0.999996
-2.94e+09,-2.46e+09,-3.463e+11,0.999996
